left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,"How does the sentence end?

Steven assassinated the president because

OPTIONS: 
- Steven
- the president
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Steven was paid to do it.

How does the sentence end?

Joe tried to get Tom to wake up, but

OPTIONS: 
- Joe
- Tom
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Joe couldn't.

How does the sentence end?

The judge was fond of the contestant so

OPTIONS: 
- The judge
- the contestant
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the contestant received the gold medal.

How does the sentence end ?

Frank felt crushed when his longtime rival Bill revealed that

OPTIONS: 
- Frank was the winner of the competition.
- Bill was the winner of the competition.
Thought: Use similar thought as before.
Output: ",bill was the winner of the competition,bill was the winner of the competition,True,3
The man couldn't lift his son because,he,was so weak.,"The man,The son",0,"How does the sentence end?

The jurors deliberated on the defendants' fate for hours, but

OPTIONS: 
- The jurors
- the defendants
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the defendants didn't receive the death penalty.

How does the sentence end?

Planet Express was bought out by Mom's Friendly Delivery Service so

OPTIONS: 
- Planet Express
- Moms Friendly Delivery Service
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Moms Friendly Delivery Service can eliminate the competition.

How does the sentence end?

The AirForce is more appealing than the Army, but

OPTIONS: 
- The AirForce
- the Army
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the Army are just as important.

How does the sentence end ?

The man couldn't lift his son because

OPTIONS: 
- The man was so weak.
- The son was so weak.
Thought: Use similar thought as before.
Output: ",the son was so weak,the man was so weak,False,3
The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,"How does the sentence end?

The bird ate the pie and

OPTIONS: 
- The bird
- the pie
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the pie was ruined.

How does the sentence end?

Kevin stared at Michael and

OPTIONS: 
- Kevin
- Michael
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Michael got angry.

How does the sentence end?

John bored Bill because

OPTIONS: 
- John
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John was boring.

How does the sentence end ?

The man couldn't lift his son because

OPTIONS: 
- The man was so heavy.
- The son was so heavy.
Thought: Use similar thought as before.
Output: ",the son was so heavy,the son was so heavy,True,3
The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,"How does the sentence end?

Steve threw the bowling ball down the lane when

OPTIONS: 
- the bowling ball
- the lane
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the lane was clear.

How does the sentence end?

Malachi's program would not run on the computer because

OPTIONS: 
- Malachis program
- the computer
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Malachis program was full of bugs.

How does the sentence end?

Jean is making fun of Kyle because

OPTIONS: 
- Jean
- Kyle
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jean won.

How does the sentence end ?

The large ball crashed right through the table because

OPTIONS: 
- The large ball was made of steel.
- The table was made of steel.
Thought: Use similar thought as before.
Output: ",the large ball was made of steel,the large ball was made of steel,True,3
The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,"How does the sentence end?

Jimbo was afraid of Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo gets scared around new people.

How does the sentence end?

John disliked Bill, but

OPTIONS: 
- John
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill did not know.

How does the sentence end?

The army crossed the river because

OPTIONS: 
- The army
- the river
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The army was retreating.

How does the sentence end ?

The large ball crashed right through the table because

OPTIONS: 
- The large ball was made of styrofoam.
- The table was made of styrofoam.
Thought: Use similar thought as before.
Output: ",the large ball was made of styrofoam,the table was made of styrofoam,False,3
John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,"How does the sentence end?

Jacob gave William money because

OPTIONS: 
- Jacob
- William
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jacob sold the car.

How does the sentence end?

Steve scratched Johnny so

OPTIONS: 
- Steve
- Johnny
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Johnny became angry.

How does the sentence end?

The coach told the captain that

OPTIONS: 
- The coach
- the captain
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The coach was proud of him.

How does the sentence end ?

John couldn't see the stage with Billy in front of him because

OPTIONS: 
- John is so short.
- Billy is so short.
Thought: Use similar thought as before.
Output: ",billy is so short,john is so short,False,3
John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,"How does the sentence end?

Rocky lost to Clubber Lang because

OPTIONS: 
- Rocky
- Clubber Lang
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Rocky was not ready for the fight.

How does the sentence end?

The students fell asleep during the professor's lectures because

OPTIONS: 
- The students
- the professors lectures
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The students were bored.

How does the sentence end?

Paper beats rock, but

OPTIONS: 
- Paper
- rock
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Paper is beaten by scissors.

How does the sentence end ?

John couldn't see the stage with Billy in front of him because

OPTIONS: 
- John is so tall.
- Billy is so tall.
Thought: Use similar thought as before.
Output: ",billy is so tall,billy is so tall,True,3
Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,"How does the sentence end?

Google bought Motorola because

OPTIONS: 
- Google
- Motorola
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Google want its customer base.

How does the sentence end?

The company accepted the resolution because

OPTIONS: 
- The company
- the resolution
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the resolution was well-written.

How does the sentence end?

John bought a beer for Bill because

OPTIONS: 
- John
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John likes cool guys.

How does the sentence end ?

Tom threw his schoolbag down to Ray after

OPTIONS: 
- Tom reached the top of the stairs.
- Ray reached the top of the stairs.
Thought: Use similar thought as before.
Output: ",ray reached the top of the stairs,tom reached the top of the stairs,False,3
Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,"How does the sentence end?

Katie accused Jane but

OPTIONS: 
- Katie
- Jane
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jane was not found guilty.

How does the sentence end?

The sheep chased the pig because

OPTIONS: 
- The sheep
- the pig
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the pig was fat.

How does the sentence end?

Iphones are selling more than androids because

OPTIONS: 
- Iphones
- androids
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Iphones are trendy.

How does the sentence end ?

Tom threw his schoolbag down to Ray after

OPTIONS: 
- Tom reached the bottom of the stairs.
- Ray reached the bottom of the stairs.
Thought: Use similar thought as before.
Output: ",ray reached the bottom of the stairs,ray reached the bottom of the stairs,True,3
"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,"How does the sentence end?

The man stole the neighbor's bike because

OPTIONS: 
- The man
- the neighbor
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the neighbor had one extra.

How does the sentence end?

Bill was robbed by John, so the officer helped

OPTIONS: 
- Bill
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill .

How does the sentence end?

The judge was fond of the contestant so

OPTIONS: 
- The judge
- the contestant
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the contestant received the gold medal.

How does the sentence end ?

Although they ran at about the same speed, Sue beat Sally because

OPTIONS: 
- Sue had such a good start.
- Sally had such a good start.
Thought: Use similar thought as before.
Output: ",sue had such a good start,sue had such a good start,True,3
"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,"How does the sentence end?

The environmentalists were angry at the corporation because

OPTIONS: 
- The environmentalists
- the corporation
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the corporation had ignored their proposal.

How does the sentence end?

Randy went to Nick's store, and bought

OPTIONS: 
- Randy
- Nick
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Randy groceries.

How does the sentence end?

The museum curator looked at the patron and

OPTIONS: 
- The museum curator
- the patron
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The museum curator saw him squirm.

How does the sentence end ?

Although they ran at about the same speed, Sue beat Sally because

OPTIONS: 
- Sue had such a bad start.
- Sally had such a bad start.
Thought: Use similar thought as before.
Output: ",sally had such a bad start,sally had such a bad start,True,3
The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,"How does the sentence end?

Paula liked Ness more than Pokey because

OPTIONS: 
- Ness
- Pokey
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Ness was nice to her.

How does the sentence end?

Michael backed Bill because John really liked

OPTIONS: 
- Michael
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill .

How does the sentence end?

The police officer shot the protester because

OPTIONS: 
- The police officer
- the protester
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the protester tried to attack the governor.

How does the sentence end ?

The sculpture rolled off the shelf because

OPTIONS: 
- The sculpture wasn't anchored.
- The shelf wasn't anchored.
Thought: Use similar thought as before.
Output: ",the shelf wasnt anchored,the sculpture wasnt anchored,False,3
The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,"How does the sentence end?

Jimbo eats more than Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo is not on a diet.

How does the sentence end?

The ball broke the window because

OPTIONS: 
- The ball
- the window
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the window was fragile.

How does the sentence end?

The judge was fond of the contestant so

OPTIONS: 
- The judge
- the contestant
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the contestant received the gold medal.

How does the sentence end ?

The sculpture rolled off the shelf because

OPTIONS: 
- The sculpture wasn't level.
- The shelf wasn't level.
Thought: Use similar thought as before.
Output: ",the shelf wasnt level,the shelf wasnt level,True,3
Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,"How does the sentence end?

The boy tried to address his friend, but

OPTIONS: 
- The boy
- his friend
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: his friend could not hear.

How does the sentence end?

Steven assassinated the president because

OPTIONS: 
- Steven
- the president
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the president was a too liberal.

How does the sentence end?

Lemuel painted Jim a piece of art since

OPTIONS: 
- Lemuel
- Jim
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Lemuel knew how.

How does the sentence end ?

Sam's drawing was hung just above Tina's and

OPTIONS: 
- Sam's drawing did look much better with another one below it.
- Tina's drawing did look much better with another one below it.
Thought: Use similar thought as before.
Output: ",tinas drawing did look much better with another one below it,sams drawing did look much better with another one below it,False,3
Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,"How does the sentence end?

The orchestra was booed by the audience because

OPTIONS: 
- The orchestra
- the audience
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the audience had expected a rock band.

How does the sentence end?

Gary envied Bill because

OPTIONS: 
- Gary
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Gary was poor.

How does the sentence end?

The employer let John have the assignment even though

OPTIONS: 
- The employer
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John did not want it.

How does the sentence end ?

Sam's drawing was hung just above Tina's and

OPTIONS: 
- Sam's drawing did look much better with another one above it.
- Tina's drawing did look much better with another one above it.
Thought: Use similar thought as before.
Output: ",tinas drawing did look much better with another one above it,tinas drawing did look much better with another one above it,True,3
Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,"How does the sentence end?

Bill returned Jim twenty dollars because

OPTIONS: 
- Bill
- Jim
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jim lent money.

How does the sentence end?

The mysterious creature is drinking whiskey because

OPTIONS: 
- The mysterious creature
- whiskey
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: whiskey tastes good.

How does the sentence end?

The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when

OPTIONS: 
- The robots
- the squirrelmen
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The robots sabotaged the acorn processing facility.

How does the sentence end ?

Anna did a lot better than her good friend Lucy on the test because

OPTIONS: 
- Anna had studied so hard.
- Lucy had studied so hard.
Thought: Use similar thought as before.
Output: ",lucy had studied so hard,anna had studied so hard,False,3
Anna did a lot worse than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",1,"How does the sentence end?

Steve threw the bowling ball down the lane when

OPTIONS: 
- the bowling ball
- the lane
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the bowling ball returned.

How does the sentence end?

The manager fired the intern because

OPTIONS: 
- The manager
- the intern
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The manager was upset.

How does the sentence end?

The other student corrected Robert because

OPTIONS: 
- The other student
- Robert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Robert had misunderstood the problem.

How does the sentence end ?

Anna did a lot worse than her good friend Lucy on the test because

OPTIONS: 
- Anna had studied so hard.
- Lucy had studied so hard.
Thought: Use similar thought as before.
Output: ",anna had studied so hard,lucy had studied so hard,False,3
The firemen arrived after the police because,they,were coming from so far away.,"The firemen,The police",0,"How does the sentence end?

Paula liked Ness more than Pokey because

OPTIONS: 
- Ness
- Pokey
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Pokey was mean to her.

How does the sentence end?

Jim pooped on Jack and

OPTIONS: 
- Jack
- Jim
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jack vomited.

How does the sentence end?

A dog chewed a bone and

OPTIONS: 
- A dog
- a bone
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: A dog barked.

How does the sentence end ?

The firemen arrived after the police because

OPTIONS: 
- The firemen were coming from so far away.
- The police were coming from so far away.
Thought: Use similar thought as before.
Output: ",the firemen were coming from so far away,the firemen were coming from so far away,True,3
The firemen arrived before the police because,they,were coming from so far away.,"The firemen,The police",1,"How does the sentence end?

Mr. Sanders gave James a promotion because

OPTIONS: 
- Mr Sanders
- James
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: James has done good work.

How does the sentence end?

The spider ate the fly because

OPTIONS: 
- The spider
- the fly
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the fly looked tasty.

How does the sentence end?

Jimbo ate the fish that Bobbert prepared because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo was hungry.

How does the sentence end ?

The firemen arrived before the police because

OPTIONS: 
- The firemen were coming from so far away.
- The police were coming from so far away.
Thought: Use similar thought as before.
Output: ",the firemen were coming from so far away,the police were coming from so far away,False,3
