sentence	pronoun	candidates	label	correct	right	left	split
The storm delayed the flight as it was very dangerous.	it	['The storm' 'the flight']	0	The storm was very dangerous.	was very dangerous.	The storm delayed the flight as	train
The storm delayed the flight as it was going over the ocean.	it	['The storm' 'the flight']	1	the flight was going over the ocean.	was going over the ocean.	The storm delayed the flight as	train
John flicked Bill because he saw a fly on his shirt.	he	['John' 'Bill']	0	John saw a fly on his shirt.	saw a fly on his shirt.	John flicked Bill because	train
John flicked Bill because he had a fly on his shirt.	he	['John' 'Bill']	1	Bill had a fly on his shirt.	had a fly on his shirt.	John flicked Bill because	train
The zombies chased the survivors because they were hungry.	they	['The zombies' 'the survivors']	0	The zombies were hungry.	were hungry.	The zombies chased the survivors because	train
The zombies chased the survivors because they were tasty.	they	['The zombies' 'the survivors']	1	the survivors were tasty.	were tasty.	The zombies chased the survivors because	train
Medvedev will cede the presidency to Putin because he is more popular.	he	['Medvedev' 'Putin']	1	Putin is more popular.	is more popular.	Medvedev will cede the presidency to Putin because	train
Medvedev will cede the presidency to Putin because he is less popular.	he	['Medvedev' 'Putin']	0	Medvedev is less popular.	is less popular.	Medvedev will cede the presidency to Putin because	train
The master rewarded the dog because he was a good owner.	he	['The master' 'the dog']	0	The master was a good owner.	was a good owner.	The master rewarded the dog because	train
The master rewarded the dog because he was a good companion.	he	['The master' 'the dog']	1	the dog was a good companion.	was a good companion.	The master rewarded the dog because	train
The cat broke the glass because it was fragile.	it	['The cat' 'the glass']	1	the glass was fragile.	was fragile.	The cat broke the glass because	train
The cat broke the glass because it was clumsy.	it	['The cat' 'the glass']	0	The cat was clumsy.	was clumsy.	The cat broke the glass because	train
Bill returned Jim twenty dollars because he borrowed money.	he	['Bill' 'Jim']	0	Bill borrowed money.	borrowed money.	Bill returned Jim twenty dollars because	train
Bill returned Jim twenty dollars because he lent money.	he	['Bill' 'Jim']	1	Jim lent money.	lent money.	Bill returned Jim twenty dollars because	train
The red team defeated the blue team because they made the last penalty kick.	they	['The red team' 'the blue team']	0	The red team made the last penalty kick.	made the last penalty kick.	The red team defeated the blue team because	train
The red team defeated the blue team because they missed the last penalty kick.	they	['The red team' 'the blue team']	1	the blue team missed the last penalty kick.	missed the last penalty kick.	The red team defeated the blue team because	train
Jack pushed John up the hill because he was in a wheelbarrow.	he	['Jack' 'John']	1	John was in a wheelbarrow.	was in a wheelbarrow.	Jack pushed John up the hill because	train
Jack pushed John up the hill because he is a good samaritan.	he	['Jack' 'John']	0	Jack is a good samaritan.	is a good samaritan.	Jack pushed John up the hill because	train
The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.	he	['The bespeckled old man' 'the passing trolley passenger']	0	The bespeckled old man waves at everybody.	waves at everybody.	The bespeckled old man slowly waved at the passing trolley passenger because	train
The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.	he	['The bespeckled old man' 'the passing trolley passenger']	1	the passing trolley passenger waved at him.	waved at him.	The bespeckled old man slowly waved at the passing trolley passenger because	train
The boy ran from the cop because he committed the crime.	he	['The boy' 'the cop']	0	The boy committed the crime.	committed the crime.	The boy ran from the cop because	train
The boy ran from the cop because he saw the crime.	he	['The boy' 'the cop']	1	the cop saw the crime.	saw the crime.	The boy ran from the cop because	train
The cap fell off the bottle because it was pressurized.	it	['The cap' 'the bottle']	1	the bottle was pressurized.	was pressurized.	The cap fell off the bottle because	train
The cap fell off the bottle because it was untwisted.	it	['The cap' 'the bottle']	0	The cap was untwisted.	was untwisted.	The cap fell off the bottle because	train
The boy tried to address his friend, but he could not speak.	he	['The boy' 'his friend']	0	The boy could not speak.	could not speak.	The boy tried to address his friend, but	train
The boy tried to address his friend, but he could not hear.	he	['The boy' 'his friend']	1	his friend could not hear.	could not hear.	The boy tried to address his friend, but	train
A biker sped past an officer and he turned on his siren.	he	['A biker' 'an officer']	1	an officer turned on his siren.	turned on his siren.	A biker sped past an officer and	train
A biker sped past an officer and he got away.	he	['A biker' 'an officer']	0	A biker got away.	got away.	A biker sped past an officer and	train
The car hop brought the man his tray, but he forgot his french fries.	he	['The car hop' 'the man']	0	The car hop forgot his french fries.	forgot his french fries.	The car hop brought the man his tray, but	train
The car hop brought the man his tray, but he was not in the car.	he	['The car hop' 'the man']	1	the man was not in the car.	was not in the car.	The car hop brought the man his tray, but	train
The environmentalists were angry at the corporation because they had ignored their proposal.	they	['The environmentalists' 'the corporation']	1	the corporation had ignored their proposal.	had ignored their proposal.	The environmentalists were angry at the corporation because	train
The environmentalists were angry at the corporation because they saw them polluting the creek.	they	['The environmentalists' 'the corporation']	0	The environmentalists saw them polluting the creek.	saw them polluting the creek.	The environmentalists were angry at the corporation because	train
The magician pulled a rabbit out of his hat.	his	['The magician' 'a rabbit']	0	The magician hat.	hat.	The magician pulled a rabbit out of	train
The magician pulled a rabbit out of his cage.	his	['The magician' 'a rabbit']	1	a rabbit cage.	cage.	The magician pulled a rabbit out of	train
Steve threw the bowling ball down the lane when it returned.	it	['the bowling ball' 'the lane']	0	the bowling ball returned.	returned.	Steve threw the bowling ball down the lane when	train
Steve threw the bowling ball down the lane when it was clear.	it	['the bowling ball' 'the lane']	1	the lane was clear.	was clear.	Steve threw the bowling ball down the lane when	train
The hippo ate the food the trainer brought when he put it in the trough.	he	['The hippo' 'the trainer']	1	the trainer put it in the trough.	put it in the trough.	The hippo ate the food the trainer brought when	train
The hippo ate the food the trainer brought when he was hungry.	he	['The hippo' 'the trainer']	0	The hippo was hungry.	was hungry.	The hippo ate the food the trainer brought when	train
When the preschoolers visited the senior citizens, they were surprisingly well behaved.	they	['the preschoolers' 'the senior citizens']	0	the preschoolers were surprisingly well behaved.	were surprisingly well behaved.	When the preschoolers visited the senior citizens,	train
When the preschoolers visited the senior citizens, they were very hospitable.	they	['the preschoolers' 'the senior citizens']	1	the senior citizens were very hospitable.	were very hospitable.	When the preschoolers visited the senior citizens,	train
The junior football team likes the Dallas Cowboys because they are an inspiration.	they	['The junior football team' 'the Dallas Cowboys']	1	the Dallas Cowboys are an inspiration.	are an inspiration.	The junior football team likes the Dallas Cowboys because	train
The junior football team likes the Dallas Cowboys because they get to watch quality football.	they	['The junior football team' 'the Dallas Cowboys']	0	The junior football team get to watch quality football.	get to watch quality football.	The junior football team likes the Dallas Cowboys because	train
Jimbo eats more than Bobbert because he is on a diet.	he	['Jimbo' 'Bobbert']	1	Bobbert is on a diet.	is on a diet.	Jimbo eats more than Bobbert because	train
Jimbo eats more than Bobbert because he is not on a diet.	he	['Jimbo' 'Bobbert']	0	Jimbo is not on a diet.	is not on a diet.	Jimbo eats more than Bobbert because	train
The cougar tried to befriend the rabbit because it had a bad reputation as an evil predator.	it	['The cougar' 'the rabbit']	0	The cougar had a bad reputation as an evil predator.	had a bad reputation as an evil predator.	The cougar tried to befriend the rabbit because	train
The cougar tried to befriend the rabbit because it was loved by everybody.	it	['The cougar' 'the rabbit']	1	the rabbit was loved by everybody.	was loved by everybody.	The cougar tried to befriend the rabbit because	train
Kevin stared at Michael and he got angry.	he	['Kevin' 'Michael']	1	Michael got angry.	got angry.	Kevin stared at Michael and	train
Kevin stared at Michael and he got his attention.	he	['Kevin' 'Michael']	0	Kevin got his attention.	got his attention.	Kevin stared at Michael and	train
The cabbage was in the freezer and it became frozen.	it	['The cabbage' 'the freezer']	0	The cabbage became frozen.	became frozen.	The cabbage was in the freezer and	train
The cabbage was in the freezer and it became full.	it	['The cabbage' 'the freezer']	1	the freezer became full.	became full.	The cabbage was in the freezer and	train
David hit Bill because Mary really liked him.	him	['David' 'Bill']	1	Bill .	.	David hit Bill because Mary really liked	train
David hit Bill because Mary asked him to.	him	['David' 'Bill']	0	David to.	to.	David hit Bill because Mary asked	train
England won the bid over Spain because they prepared better.	they	['England' 'Spain']	0	England prepared better.	prepared better.	England won the bid over Spain because	train
England won the bid over Spain because they did not prepare thoroughly.	they	['England' 'Spain']	1	Spain did not prepare thoroughly.	did not prepare thoroughly.	England won the bid over Spain because	train
Caroline quickly defeated Sue because she regained her confidence.	she	['Caroline' 'Sue']	0	Caroline regained her confidence.	regained her confidence.	Caroline quickly defeated Sue because	train
Caroline quickly defeated Sue because she lost her confidence.	she	['Caroline' 'Sue']	1	Sue lost her confidence.	lost her confidence.	Caroline quickly defeated Sue because	train
Firefox is used more than Internet Explorer because it is more stable.	it	['Firefox' 'Internet Explorer']	0	Firefox is more stable.	is more stable.	Firefox is used more than Internet Explorer because	train
Firefox is used more than Internet Explorer because it is less stable.	it	['Firefox' 'Internet Explorer']	1	Internet Explorer is less stable.	is less stable.	Firefox is used more than Internet Explorer because	train
Students hate exams because they are lazy.	they	['Students' 'exams']	0	Students are lazy.	are lazy.	Students hate exams because	train
Students hate exams because they are tedious.	they	['Students' 'exams']	1	exams are tedious.	are tedious.	Students hate exams because	train
Gary envied Bill because he was rich.	he	['Gary' 'Bill']	1	Bill was rich.	was rich.	Gary envied Bill because	train
Gary envied Bill because he was poor.	he	['Gary' 'Bill']	0	Gary was poor.	was poor.	Gary envied Bill because	train
The company accepted the resolution because it was well-written.	it	['The company' 'the resolution']	1	the resolution was well-written.	was well-written.	The company accepted the resolution because	train
The company accepted the resolution because it was desperate.	it	['The company' 'the resolution']	0	The company was desperate.	was desperate.	The company accepted the resolution because	train
Paper beats rock, but it is beaten by scissors.	it	['Paper' 'rock']	0	Paper is beaten by scissors.	is beaten by scissors.	Paper beats rock, but	train
Paper beats rock, but it is able to beat scissors.	it	['Paper' 'rock']	1	rock is able to beat scissors.	is able to beat scissors.	Paper beats rock, but	train
The teacher told the student that he needed to practice.	he	['The teacher' 'the student']	1	the student needed to practice.	needed to practice.	The teacher told the student that	train
The teacher told the student that he expected something better from him.	he	['The teacher' 'the student']	0	The teacher expected something better from him.	expected something better from him.	The teacher told the student that	train
Mr. Sanders gave James a promotion because he has done good work.	he	['Mr. Sanders' 'James']	1	James has done good work.	has done good work.	Mr. Sanders gave James a promotion because	train
Mr. Sanders gave James a promotion because he appreciated his good work.	he	['Mr. Sanders' 'James']	0	Mr Sanders appreciated his good work.	appreciated his good work.	Mr. Sanders gave James a promotion because	train
The coach told the captain that he was proud of him.	he	['The coach' 'the captain']	0	The coach was proud of him.	was proud of him.	The coach told the captain that	train
The coach told the captain that he was fired.	he	['The coach' 'the captain']	1	the captain was fired.	was fired.	The coach told the captain that	train
Luigi rescued Mario because he was in trouble.	he	['Luigi' 'Mario']	1	Mario was in trouble.	was in trouble.	Luigi rescued Mario because	train
Luigi rescued Mario because he was the only one who can.	he	['Luigi' 'Mario']	0	Luigi was the only one who can.	was the only one who can.	Luigi rescued Mario because	train
Planet Express was bought out by Mom's Friendly Delivery Service so they can no longer be a threat.	they	['Planet Express' "Mom's Friendly Delivery Service"]	0	Planet Express can no longer be a threat.	can no longer be a threat.	Planet Express was bought out by Mom's Friendly Delivery Service so	train
Planet Express was bought out by Mom's Friendly Delivery Service so they can eliminate the competition.	they	['Planet Express' "Mom's Friendly Delivery Service"]	1	Moms Friendly Delivery Service can eliminate the competition.	can eliminate the competition.	Planet Express was bought out by Mom's Friendly Delivery Service so	train
The squirrels buried the nuts so they would not lose them.	they	['The squirrels' 'the nuts']	0	The squirrels would not lose them.	would not lose them.	The squirrels buried the nuts so	train
The squirrels buried the nuts so they would not get lost.	they	['The squirrels' 'the nuts']	1	the nuts would not get lost.	would not get lost.	The squirrels buried the nuts so	train
The jocks did not like the nerds because they were bullies.	they	['The jocks' 'the nerds']	0	The jocks were bullies.	were bullies.	The jocks did not like the nerds because	train
The jocks did not like the nerds because they were losers.	they	['The jocks' 'the nerds']	1	the nerds were losers.	were losers.	The jocks did not like the nerds because	train
The spider ate the fly because he was hungry.	he	['The spider' 'the fly']	0	The spider was hungry.	was hungry.	The spider ate the fly because	train
The spider ate the fly because he looked tasty.	he	['The spider' 'the fly']	1	the fly looked tasty.	looked tasty.	The spider ate the fly because	train
The nurse gave the girl a lollypop so that she would stop crying.	she	['The nurse' 'the girl']	1	the girl would stop crying.	would stop crying.	The nurse gave the girl a lollypop so that	train
The nurse gave the girl a lollypop because she had too many.	she	['The nurse' 'the girl']	0	The nurse had too many.	had too many.	The nurse gave the girl a lollypop because	train
The police officer chased the thief because he was stealing from the bank.	he	['The police officer' 'the thief']	1	the thief was stealing from the bank.	was stealing from the bank.	The police officer chased the thief because	train
The police officer chased the thief because he was protecting the bank.	he	['The police officer' 'the thief']	0	The police officer was protecting the bank.	was protecting the bank.	The police officer chased the thief because	train
The mechanic charged the man one hundred dollars although he had done no work.	he	['The mechanic' 'the man']	0	The mechanic had done no work.	had done no work.	The mechanic charged the man one hundred dollars although	train
The mechanic charged the man one hundred dollars although he only had eighty dollars.	he	['The mechanic' 'the man']	1	the man only had eighty dollars.	only had eighty dollars.	The mechanic charged the man one hundred dollars although	train
The cat looked at the big dog, and it was terrified.	it	['The cat' 'the big dog']	0	The cat was terrified.	was terrified.	The cat looked at the big dog, and	train
The cat looked at the big dog, and it barked menacingly.	it	['The cat' 'the big dog']	1	the big dog barked menacingly.	barked menacingly.	The cat looked at the big dog, and	train
Batman caught the thief, and he plead innocence.	he	['Batman' 'the thief']	1	the thief plead innocence.	plead innocence.	Batman caught the thief, and	train
Batman caught the thief, and he recovered the stolen diamonds.	he	['Batman' 'the thief']	0	Batman recovered the stolen diamonds.	recovered the stolen diamonds.	Batman caught the thief, and	train
The Emancipation Proclamation made slavery illegal, but it was still practiced.	it	['The Emancipation Proclamation' 'slavery']	1	slavery was still practiced.	was still practiced.	The Emancipation Proclamation made slavery illegal, but	train
The Emancipation Proclamation made slavery illegal, but it did not actually cause many slaves to be freed.	it	['The Emancipation Proclamation' 'slavery']	0	The Emancipation Proclamation did not actually cause many slaves to be freed.	did not actually cause many slaves to be freed.	The Emancipation Proclamation made slavery illegal, but	train
It annoyed Chris when Sebastian jangled his keys because he was in a bad mood.	he	['Chris' 'Sebastian']	0	Chris was in a bad mood.	was in a bad mood.	It annoyed Chris when Sebastian jangled his keys because	train
It annoyed Chris when Sebastian jangled his keys because he wanted to make fun.	he	['Chris' 'Sebastian']	1	Sebastian wanted to make fun.	wanted to make fun.	It annoyed Chris when Sebastian jangled his keys because	train
Sam helped Davey fortify their bunker because he thought the Mexicans were invading.	he	['Sam' 'Davey']	1	Davey thought the Mexicans were invading.	thought the Mexicans were invading.	Sam helped Davey fortify their bunker because	train
Sam helped Davey fortify their bunker because he wanted to be a good friend.	he	['Sam' 'Davey']	0	Sam wanted to be a good friend.	wanted to be a good friend.	Sam helped Davey fortify their bunker because	train
Fred drove to Mack's tire shop, and he bought a tire.	he	['Fred' 'Mack']	0	Fred bought a tire.	bought a tire.	Fred drove to Mack's tire shop, and	train
Fred drove to Mack's tire shop, and he sold a tire.	he	['Fred' 'Mack']	1	Mack sold a tire.	sold a tire.	Fred drove to Mack's tire shop, and	train
Randy went to Nick's store, and bought his groceries.	his	['Randy' 'Nick']	0	Randy groceries.	groceries.	Randy went to Nick's store, and bought	train
